Pendekatan,Skenario,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Centralized,Logistic Regression,0.8764,0.4066,0.8726,0.5547,0.9574
Centralized,Random Forest,0.8846,0.4277,0.9139,0.5827,0.9714
Centralized,KNN,0.911,0.4969,0.7677,0.6033,0.882
Centralized,Gradient Boosting,0.8965,0.4568,0.9163,0.6097,0.976
FL,FL IID 5K,0.8764,0.4066,0.8726,0.5547,0.9574
FL,FL Non-IID 5K,0.8878,0.431,0.8514,0.5723,0.9573
FL,FL IID 10K,0.8767,0.407,0.8726,0.5551,0.9574
FL+Blockchain,BC Normal,0.8764,0.4066,0.8726,0.5547,0.9574
FL+Blockchain,BC 1 Jahat,0.8772,0.4081,0.8715,0.5558,0.9575
FL+Blockchain,BC 2 Jahat,0.8775,0.4085,0.8691,0.5558,0.9574
